,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
3627164,1.2865,99.326,53.039,1.8708,170.87,0.18089,0.36892,0.40957,0.095787,0.0076313,76.957,7.4017,2.1044,450.43,256.68,37.36,0.36386,677.49,399.25,6.2386,0.5893,0.59714,0.83597,0.19135,4.2876,1.4105,19,2.3381,122.73,7.5235,75.76,5.047,34.431,352.14,C4
8191664,1.4064,115.61,75.32,3.4573,157.52,0.24238,0.28591,0.5483,0.080608,0.010839,96.619,8.0945,2.3787,256.18,268.62,47.774,0.39744,1072.5,630.76,19.094,0.58815,-0.8336,0.77798,0.43919,10.488,2.5772,34,2.498,0,10.017,63.645,2.9603,42.159,531.92,C4
6732317,1.4833,112.01,54.863,2.038,163.61,0.24983,0.22853,0.51722,0.083591,0.00727,28.712,44.994,2.0721,377.55,519.85,48.272,0.3146,252.45,927.62,20.688,3.6745,-0.76534,0.51954,0.7296,8.3237,11.202,137,2.3085,0,13.456,22.578,1.7888,45.833,531.92,C2
7153896,0.49177,61.077,83.597,4.586,93.903,0.24753,0.34585,0.42778,0.020568,0.0084856,18.525,20.775,1.495,40.816,404.4,3.9657,0.39761,82.759,1310.1,19.94,15.831,-0.84228,0.55572,0.88963,5.2824,24.249,213.2,1.4662,0,14.515,28.11,4.0149,45.809,352.14,C1
13191629,15.851,431.14,32.906,9.7765,270.22,0.13382,0.26908,0.66138,0.13895,0.0026673,52.949,38.526,0.7374,262.78,545.78,3.2477,0.32484,880.06,897.02,20.517,1.0193,-0.93962,0.67088,0.51342,10.758,3.5296,57.5,2.4287,5.9333,13.195,47.091,1.9028,45.783,531.92,C3
5159486,0.98904,111.86,37.676,2.6157,117.05,0.21199,0.30774,0.66065,0.11982,0.011363,17.551,5.1733,1.0587,521.6,634.36,15.729,0.31517,656.33,584.37,7.3579,0.89036,-0.51236,0.8583,0.1985,4.8963,1.7697,23.2,2.2433,143.57,10.869,65.362,3.6504,36.934,610.55,C3
11348795,15.335,321.53,5.9425,5.6939,237.87,0.14737,0.20091,0.68856,0.12556,0.00043449,22.503,14.732,5.402,134.83,364.12,21.248,0.34319,435.69,935.03,20.371,2.1461,-0.77201,0.55587,0.55983,8.1586,6.0013,84.85,2.1676,0,11.987,36.084,2.2422,45.661,610.55,C3
14619588,19.805,432.15,97.75,8.151,370.59,0.1549,0.36187,0.47464,0.024361,0.0062916,81.65,11.041,3.4225,558.67,574.19,26.223,0.36288,480.94,500.57,5.7883,1.0408,0.73726,0.87717,0.26047,3.7236,1.901,23.9,2.1148,155.37,10.6,69.433,3.3957,35.66,610.55,C2
9805420,23.323,282.76,71.098,9.2984,365.88,0.11232,0.31725,0.48867,0.023774,0.0014637,20.455,14.255,2.7395,514.54,405.7,41.959,0.33983,824.24,315.4,7.0585,0.38266,0.80658,0.85368,0.1983,5.395,1.4405,18,2.4875,135.67,9.955,74.657,1.7601,34.756,352.14,C3
7922892,1.4321,107.85,95.938,2.9789,184.92,0.22767,0.22073,0.41877,0.042005,0.0012883,89.904,8.0337,3.4259,477.86,530.81,10.131,0.31927,858.88,387.6,11.056,0.45128,-0.62872,0.87677,0.11474,4.098,0.83428,15.95,3.3513,2.3667,6.9673,89.559,2.7709,37.691,352.14,C4
