"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
27.317,48.486,2.2181,4.0735,80.899,0.40425,0.22765,2.003,1.2993,0.32638,0.16286,4.1797,1.1663,0.39181,0.059448,3.0716,2.4417,7.8947,26.251,1.12E-05,16.13,25.211,34.14,1.21E-06,18.688,-0.9901,0.15711,60,Stable
27.426,48.731,3.237,5.1131,92.338,0.47918,0.19422,4.2559,2.2471,0.47027,0.099631,2.6748,1.7593,0.30722,0.17407,52.298,2.336,5.7929,24.11,1.70E-05,16.027,24.56,40.297,1.35E-06,19.563,-1.0658,0.081821,71,Stable
27.499,48.537,5.5111,2.9756,82.742,0.38725,0.098591,1.8286,1.5967,0.57441,0.12577,0.8754,1.6404,0.47567,0.11622,2.465,1.1254,10.998,25.6,1.22E-05,16.712,24.656,34.138,1.19E-06,19.676,-0.94904,0.11465,57,Stable
28.863,48.987,2.1471,4.4084,89.633,0.4132,0.25503,0.32677,2.4135,0.41109,0.20793,0.72388,1.9132,0.50703,0.16603,0.2687,1.618,13.025,26.956,8.78E-06,16.412,26.113,35.819,2.95E-06,19.228,-0.77935,0.0043857,70,Stable
29.186,48.471,4.295,2.5893,66.294,0.45293,0.35025,5.0165,1.5919,0.41075,0.14189,5.3067,1.1646,0.36356,0.068647,9.3765,1.7724,3.3452,22.435,1.49E-05,16.264,26.517,30.414,1.85E-06,19.644,-1.2837,0.15346,1,Stable
27.19,48.456,5.6145,4.9004,66.326,0.30437,0.0872,1.8535,1.3374,0.48749,0.12356,2.075,1.5538,0.34819,0.1165,3.404,1.1519,7.6498,25.41,1.25E-05,16.538,26.912,32.944,2.77E-06,18.861,-0.93196,0.18258,26,Failure
29.581,48.617,5.1426,5.7992,93.683,0.34711,0.2271,5.1237,1.2354,0.36502,0.12595,9.4044,1.6438,0.41588,0.19622,4.1013,2.866,7.1703,24.486,1.06E-05,16.262,24.864,36.391,8.74E-07,18.833,-0.93738,0.019683,13,Failure
29.803,48.115,4.3418,5.2648,65.433,0.45734,0.15998,1.9103,1.2753,0.44461,0.17967,5.12,2.7397,0.36667,0.097868,0.60731,1.9431,4.8073,25.729,2.91E-05,17.962,24.764,38.743,1.49E-06,19.4,-0.57993,0.10522,7,Failure
29.357,48.087,3.257,3.3614,84.993,0.29611,0.18962,0.81366,1.7967,0.35078,0.10669,2.1741,1.5056,0.38849,0.2239,16.42,1.9344,8.3639,27.112,1.27E-05,17.101,25.123,35.107,3.26E-06,18.148,-0.96325,0.15757,20,Stable
28.54,48.414,4.0086,4.2816,80.131,0.45081,0.20052,15.022,1.8959,0.48361,0.16046,32.475,2.0146,0.36774,0.061308,4.1213,1.2793,5.8963,26.537,2.29E-05,17.686,24.724,36.663,2.03E-06,19.722,-0.60369,0.048671,29,Failure
27.533,48.442,4.9667,2.4908,66.726,0.39691,0.19102,2.2255,1.4268,0.35295,0.25475,1.9184,1.1083,0.4672,0.09508,5.352,1.2965,8.5853,22.965,1.09E-05,17.504,22.544,38.179,1.44E-06,18.451,-1.3764,0.15301,15,Failure
29.817,48.375,5.065,4.8467,67.301,0.45949,0.088367,3.3482,1.3941,0.54422,0.13814,11.709,1.5099,0.52535,0.13607,2.4912,1.4217,11.76,26.535,1.03E-05,17.6,22.942,29.879,1.85E-06,19.827,-0.68153,0.15944,13,Stable
27.904,48.019,4.5387,2.9404,62.147,0.45317,0.15863,12.079,2.0018,0.43867,0.10246,10.365,2.1944,0.46678,0.092871,3.1079,2.0223,8.5459,25.062,1.53E-05,16.26,22.702,37.035,1.75E-06,19.609,-1.1715,0.044055,65,Failure
27.887,48.746,4.156,4.8178,76.272,0.35387,0.084167,12.465,1.047,0.37633,0.16808,3.1169,2.5026,0.41208,0.11248,0.88418,1.7145,2.7096,24.74,1.44E-05,16.359,25.53,36.359,1.49E-06,18.719,-0.79215,0.15896,11,Failure
27.999,48.164,4.448,2.2169,86.843,0.50729,0.14651,19.473,1.4964,0.51697,0.05467,2.9149,1.5254,0.38944,0.11947,1.3245,2.6051,2.098,23.532,1.19E-05,17.924,25.276,39.58,1.64E-06,19.148,-1.3261,0.10338,44,Failure
28.401,48.02,5.2012,4.5867,77.818,0.40373,0.12788,0.88694,1.6331,0.29051,0.17233,1.205,1.8072,0.38529,0.13514,10.048,1.3595,9.7215,26.026,1.51E-05,17.423,26.38,37.957,1.54E-06,19.274,-1.0887,0.080449,70,Stable
